txn_id,date,description,amount,category
1,2026-01-13,UBER  TRIP  HELP.UBER.COM*13,182.6,Transport
2,2026-01-13,NOBROKER  RENT  PAY,8987.42,Rent & Housing
3,2026-01-13,BMTC BUS PASS,786.25,Transport
4,2026-01-13,MYNTRA DESIGNS,3085.35,Shopping
5,2026-01-14,DMART RETAIL*13,3403.71,Groceries
6,2026-01-15,MORE SUPERMARKET,886.89,Groceries
7,2026-01-15,NYKAA FASHION,1660.36,Shopping
8,2026-01-16,UBER TRIP HELP.UBER.COM,570.07,Transport
9,2026-01-16,APOLLO PHARMACY TXN877572,730.08,Health
429,2026-01-16,HOUSING RENT NEFT,13777.87,Rent & Housing
10,2026-01-17,FLIPKART INTERNET,2668.33,Shopping
11,2026-01-17,BMTC BUS PASS REF#2824,553.55,Transport
12,2026-01-17,BMTC BUS PASS,89.48,Transport
13,2026-01-17,BIGBASKET ONLINE,2244.14,Groceries
14,2026-01-18,ZEPTO INSTANT,3336.43,Groceries
15,2026-01-19,DMART RETAIL,2489.55,Groceries
16,2026-01-19,IRCTC_RAIL_TICKET,424.13,Transport
17,2026-01-19,SWIGGY BANGALORE,234.24,Food & Dining
18,2026-01-20,DOMINOS PIZZA,1100.25,Food & Dining
19,2026-01-21,NOBROKER RENT PAY,16841.16,Rent & Housing
20,2026-01-21,BESCOM ELECTRICITY,1502.76,Utilities
21,2026-01-22,HOUSING RENT NEFT,23212.06,Rent & Housing
22,2026-01-22,BMTC BUS PASS,558.21,Transport
23,2026-01-22,UDEMY_COURSE_PAY,13867.18,Education
24,2026-01-24,1MG HEALTHCARE REF#2824,1436.26,Health
25,2026-01-25,DOMINOS PIZZA,696.97,Food & Dining
26,2026-01-25,ACT FIBERNET REF#2824,610.03,Utilities
27,2026-01-25,STARBUCKS COFFEE,982.42,Food & Dining
28,2026-01-25,NYKAA FASHION TXN877572,557.84,Shopping
29,2026-01-26,OLA CABS BANGALORE,743.14,Transport
30,2026-01-26,SWIGGY BANGALORE*13,877.54,Food & Dining
31,2026-01-26,ZOMATO ORDER,901.91,Food & Dining
32,2026-01-27,AMZN MKTP US*2K3,1920.64,Shopping
33,2026-01-29,NOBROKER RENT PAY,13286.7,Rent & Housing
34,2026-01-29,ZOMATO  ORDER,457.7,Food & Dining
35,2026-01-29,BIGBASKET ONLINE,2634.74,Groceries
36,2026-01-30,ACT FIBERNET,1869.14,Utilities
37,2026-01-30,DOMINOS PIZZA TXN877572,936.86,Food & Dining
38,2026-01-30,AJIO TRENDS,2894.13,Shopping
39,2026-01-31,ACT FIBERNET TXN877572,537.36,Utilities
40,2026-01-31,BMTC BUS PASS,76.71,Transport
41,2026-01-31,COURSERA  SUBSCRIP,9727.95,Education
42,2026-01-31,BURGER KING IND,445.79,Food & Dining
43,2026-02-01,UBER TRIP HELP.UBER.COM,115.43,Transport
44,2026-02-01,MORE SUPERMARKET,1227.2,Groceries
45,2026-02-01,CCD CAFE COFFEE DAY,277.34,Food & Dining
46,2026-02-01,STARBUCKS  COFFEE,1122.67,Food & Dining
47,2026-02-01,MCDONALDS IN,988.93,Food & Dining
48,2026-02-02,1MG HEALTHCARE,3591.72,Health
49,2026-02-02,ACT  FIBERNET,1486.55,Utilities
50,2026-02-02,NESTAWAY PROPERTY,21726.48,Rent & Housing
51,2026-02-03,ZEPTO INSTANT,1029.39,Groceries
52,2026-02-03,CCD_CAFE_COFFEE_DAY,569.82,Food & Dining
53,2026-02-04,IRCTC RAIL TICKET,484.14,Transport
54,2026-02-04,SWIGGY BANGALORE,559.15,Food & Dining
55,2026-02-05,ZOMATO ORDER,471.38,Food & Dining
56,2026-02-06,HOUSING RENT NEFT,14181.7,Rent & Housing
57,2026-02-06,RAPIDO BIKE TAXI,876.01,Transport
58,2026-02-06,BURGER KING IND,1158.69,Food & Dining
59,2026-02-07,BOOKMYSHOW EVENT REF#2824,199.8,Entertainment
60,2026-02-07,HOUSING RENT NEFT REF#2824,18362.59,Rent & Housing
61,2026-02-07,PRACTO CONSULT REF#2824,2110.18,Health
62,2026-02-08,HOUSING RENT NEFT,23440.52,Rent & Housing
63,2026-02-09,UBER TRIP HELP.UBER.COM,466.03,Transport
64,2026-02-10,MAKEMYTRIP BOOKING,5515.11,Travel
65,2026-02-10,NYKAA FASHION,3695.44,Shopping
66,2026-02-10,BESCOM ELECTRICITY,1109.12,Utilities
67,2026-02-11,SPOTIFY PREMIUM,1277.66,Entertainment
68,2026-02-11,UBER TRIP HELP.UBER.COM,322.66,Transport
69,2026-02-11,ACT FIBERNET REF#2824,710.34,Utilities
70,2026-02-13,SPOTIFY PREMIUM,841.33,Entertainment
71,2026-02-13,DMART RETAIL,1024.79,Groceries
430,2026-02-13,HOUSING RENT NEFT,20321.04,Rent & Housing
72,2026-02-14,FLIPKART INTERNET,4696.3,Shopping
73,2026-02-14,SWIGGY BANGALORE,251.27,Food & Dining
74,2026-02-14,PRACTO CONSULT*13,1496.05,Health
75,2026-02-15,RELIANCE_FRESH,2411.95,Groceries
76,2026-02-15,RAPIDO BIKE TAXI,3911.51,Transport
77,2026-02-15,NETFLIX.COM TXN877572,899.52,Entertainment
78,2026-02-16,NYKAA  FASHION,646.89,Shopping
79,2026-02-17,ACT FIBERNET,1897.1,Utilities
80,2026-02-17,CULT FIT GYM,3609.02,Health
81,2026-02-17,FLIPKART INTERNET,4458.01,Shopping
82,2026-02-17,BIGBASKET ONLINE*13,2795.6,Groceries
83,2026-02-18,ZOMATO ORDER,277.79,Food & Dining
84,2026-02-19,MYNTRA_DESIGNS,687.06,Shopping
85,2026-02-19,NETFLIX.COM,1045.73,Entertainment
86,2026-02-21,AJIO TRENDS,3618.46,Shopping
87,2026-02-21,DMART_RETAIL,1059.2,Groceries
88,2026-02-21,SPOTIFY PREMIUM,589.29,Entertainment
89,2026-02-21,NESTAWAY_PROPERTY,20690.35,Rent & Housing
90,2026-02-22,AMZN MKTP US*2K3,1965.04,Shopping
91,2026-02-22,BOOKMYSHOW EVENT,508.02,Entertainment
92,2026-02-22,SWIGGY BANGALORE,368.39,Food & Dining
93,2026-02-22,CCD CAFE COFFEE DAY,1170.31,Food & Dining
94,2026-02-23,ZOMATO ORDER REF#2824,734.59,Food & Dining
95,2026-02-23,CCD CAFE COFFEE DAY,641.77,Food & Dining
96,2026-02-23,NETFLIX.COM,413.58,Entertainment
97,2026-02-23,RAPIDO BIKE TAXI,664.08,Transport
98,2026-02-24,PRACTO CONSULT,2652.79,Health
99,2026-02-25,APOLLO PHARMACY,258.74,Health
100,2026-02-25,BESCOM_ELECTRICITY,2342.3,Utilities
101,2026-02-25,PRACTO CONSULT TXN877572,1827.1,Health
102,2026-02-25,BMTC BUS PASS,871.66,Transport
103,2026-02-26,DMART RETAIL,3023.64,Groceries
104,2026-02-26,RAPIDO BIKE TAXI*13,319.38,Transport
105,2026-02-26,BURGER KING IND,286.44,Food & Dining
106,2026-02-27,BIGBASKET ONLINE,2268.02,Groceries
107,2026-02-27,OLA CABS BANGALORE,891.55,Transport
108,2026-02-27,ZOMATO ORDER,254.09,Food & Dining
109,2026-02-27,NYKAA FASHION,2687.98,Shopping
110,2026-02-28,JIO  FIBER  RECHARGE*13,2082.25,Utilities
111,2026-02-28,SPOTIFY PREMIUM REF#2824,1320.55,Entertainment
112,2026-02-28,AIRBNB STAY,18351.57,Travel
113,2026-02-28,ZEPTO  INSTANT,1936.3,Groceries
114,2026-02-28,AIRTEL_POSTPAID_TXN877572,1403.34,Utilities
115,2026-02-28,FLIPKART INTERNET,4031.82,Shopping
116,2026-03-01,DOMINOS PIZZA,736.11,Food & Dining
