txn_id,date,description,amount,category
1,2026-01-14,UBER  TRIP  HELP.UBER.COM*13,182.6,Transport
2,2026-01-14,NOBROKER  RENT  PAY,8987.42,Rent & Housing
3,2026-01-14,BMTC BUS PASS,786.25,Transport
4,2026-01-14,MYNTRA DESIGNS,3085.35,Shopping
5,2026-01-15,DMART RETAIL*13,3403.71,Groceries
410,2026-01-15,NESTAWAY PROPERTY,24154.04,Rent & Housing
6,2026-01-16,MORE SUPERMARKET,886.89,Groceries
7,2026-01-16,NYKAA FASHION,1660.36,Shopping
8,2026-01-17,UBER TRIP HELP.UBER.COM,298.32,Transport
9,2026-01-17,APOLLO PHARMACY TXN877572,1592.18,Health
10,2026-01-17,FLIPKART INTERNET,2389.14,Shopping
11,2026-01-17,BMTC BUS PASS REF#2824,717.4,Transport
12,2026-01-18,BMTC BUS PASS,566.41,Transport
13,2026-01-18,BIGBASKET ONLINE,845.68,Groceries
14,2026-01-18,ZEPTO INSTANT,508.17,Groceries
15,2026-01-19,DMART RETAIL,2489.55,Groceries
16,2026-01-19,IRCTC_RAIL_TICKET,424.13,Transport
17,2026-01-19,SWIGGY BANGALORE,234.24,Food & Dining
18,2026-01-19,DOMINOS PIZZA,644.69,Food & Dining
19,2026-01-21,NOBROKER RENT PAY,16841.16,Rent & Housing
20,2026-01-21,BESCOM ELECTRICITY,1502.76,Utilities
21,2026-01-21,HOUSING RENT NEFT,11142.53,Rent & Housing
22,2026-01-22,BMTC BUS PASS,216.59,Transport
23,2026-01-22,UDEMY_COURSE_PAY,1155.8,Education
24,2026-01-22,1MG HEALTHCARE REF#2824,1436.26,Health
25,2026-01-22,DOMINOS PIZZA,527.55,Food & Dining
26,2026-01-22,ACT FIBERNET REF#2824,896.97,Utilities
27,2026-01-22,STARBUCKS COFFEE,1011.61,Food & Dining
28,2026-01-23,NYKAA FASHION TXN877572,2804.94,Shopping
29,2026-01-24,OLA CABS BANGALORE,888.85,Transport
30,2026-01-24,SWIGGY BANGALORE*13,949.47,Food & Dining
31,2026-01-25,ZOMATO ORDER,997.01,Food & Dining
32,2026-01-26,AMZN MKTP US*2K3,1920.64,Shopping
33,2026-01-26,NOBROKER RENT PAY,9969.77,Rent & Housing
34,2026-01-26,ZOMATO  ORDER,1049.41,Food & Dining
35,2026-01-27,BIGBASKET ONLINE,1295.14,Groceries
36,2026-01-27,ACT FIBERNET,1015.4,Utilities
37,2026-01-28,DOMINOS PIZZA TXN877572,884.57,Food & Dining
38,2026-01-28,AJIO TRENDS,3851.77,Shopping
39,2026-01-28,ACT FIBERNET TXN877572,1534.81,Utilities
40,2026-01-28,BMTC BUS PASS,705.32,Transport
41,2026-01-29,COURSERA  SUBSCRIP,868.58,Education
42,2026-01-29,BURGER KING IND,218.68,Food & Dining
43,2026-01-31,UBER TRIP HELP.UBER.COM,398.83,Transport
44,2026-01-31,MORE SUPERMARKET,2717.76,Groceries
45,2026-01-31,CCD CAFE COFFEE DAY,351.68,Food & Dining
46,2026-01-31,STARBUCKS  COFFEE,184.68,Food & Dining
47,2026-02-01,MCDONALDS IN,1058.61,Food & Dining
48,2026-02-01,1MG HEALTHCARE,3253.95,Health
49,2026-02-01,ACT  FIBERNET,710.45,Utilities
50,2026-02-01,NESTAWAY PROPERTY,23173.5,Rent & Housing
51,2026-02-02,ZEPTO INSTANT,652.17,Groceries
52,2026-02-02,CCD_CAFE_COFFEE_DAY,350.73,Food & Dining
53,2026-02-02,IRCTC RAIL TICKET,413.04,Transport
54,2026-02-03,SWIGGY BANGALORE,661.82,Food & Dining
55,2026-02-03,ZOMATO ORDER,559.15,Food & Dining
56,2026-02-04,HOUSING RENT NEFT,13739.46,Rent & Housing
57,2026-02-05,RAPIDO BIKE TAXI,359.09,Transport
58,2026-02-05,BURGER KING IND,1168.96,Food & Dining
59,2026-02-05,BOOKMYSHOW EVENT REF#2824,1449.3,Entertainment
60,2026-02-06,HOUSING RENT NEFT REF#2824,13114.93,Rent & Housing
61,2026-02-07,PRACTO CONSULT REF#2824,2516.34,Health
62,2026-02-08,HOUSING RENT NEFT,12736.99,Rent & Housing
63,2026-02-09,UBER TRIP HELP.UBER.COM,466.03,Transport
