txn_id,date,description,amount,category,type
1,2026-03-28,BESCOM  ELECTRICITY*13,643.19,Utilities,Expense
2,2026-03-28,UDEMY  COURSE  PAY,1342.21,Education,Expense
3,2026-03-28,BMTC BUS PASS,786.25,Transport,Expense
4,2026-03-28,MYNTRA DESIGNS,3085.35,Shopping,Expense
5,2026-03-29,DMART RETAIL*13,3403.71,Groceries,Expense
6,2026-03-30,MORE SUPERMARKET,886.89,Groceries,Expense
7,2026-03-30,NYKAA FASHION,1660.36,Shopping,Expense
418,2026-03-30,NETFLIX.COM,649.0,Entertainment,Expense
419,2026-03-30,SPOTIFY PREMIUM,119.0,Entertainment,Expense
8,2026-03-31,UBER TRIP HELP.UBER.COM,570.07,Transport,Expense
9,2026-03-31,NOBROKER RENT PAY TXN877572,10371.4,Rent & Housing,Expense
411,2026-03-31,NESTAWAY PROPERTY,11147.26,Rent & Housing,Expense
10,2026-04-01,FLIPKART INTERNET,2389.14,Shopping,Expense
11,2026-04-02,ACT FIBERNET REF#2824,1603.31,Utilities,Expense
12,2026-04-02,ACT FIBERNET,402.19,Utilities,Expense
13,2026-04-03,BIGBASKET ONLINE,508.17,Groceries,Expense
14,2026-04-04,ZEPTO INSTANT,2489.55,Groceries,Expense
15,2026-04-04,DMART RETAIL,1708.49,Groceries,Expense
16,2026-04-04,IRCTC_RAIL_TICKET,153.73,Transport,Expense
17,2026-04-04,SWIGGY BANGALORE,644.69,Food & Dining,Expense
18,2026-04-05,DOMINOS PIZZA,828.77,Food & Dining,Expense
19,2026-04-05,NOBROKER RENT PAY,13299.09,Rent & Housing,Expense
20,2026-04-06,BESCOM ELECTRICITY,2433.09,Utilities,Expense
21,2026-04-06,HOUSING RENT NEFT,21177.26,Rent & Housing,Expense
22,2026-04-07,ACT FIBERNET,731.16,Utilities,Expense
23,2026-04-07,MAKEMYTRIP_BOOKING,1859.32,Travel,Expense
24,2026-04-07,1MG HEALTHCARE REF#2824,1436.26,Health,Expense
25,2026-04-07,DOMINOS PIZZA,527.55,Food & Dining,Expense
26,2026-04-08,ACT FIBERNET REF#2824,918.06,Utilities,Expense
27,2026-04-08,BLINKIT GROCERY,2036.63,Groceries,Expense
28,2026-04-09,NYKAA FASHION TXN877572,557.84,Shopping,Expense
29,2026-04-10,OLA CABS BANGALORE,743.14,Transport,Expense
30,2026-04-10,SWIGGY BANGALORE*13,877.54,Food & Dining,Expense
31,2026-04-10,DMART RETAIL,2632.82,Groceries,Expense
32,2026-04-11,AMZN MKTP US*2K3,756.17,Shopping,Expense
33,2026-04-11,NOBROKER RENT PAY,22672.76,Rent & Housing,Expense
34,2026-04-12,ZOMATO  ORDER,442.08,Food & Dining,Expense
35,2026-04-12,BIGBASKET ONLINE,1340.59,Groceries,Expense
36,2026-04-13,ACT FIBERNET,1869.14,Utilities,Expense
37,2026-04-13,DOMINOS PIZZA TXN877572,936.86,Food & Dining,Expense
38,2026-04-13,AJIO TRENDS,2894.13,Shopping,Expense
39,2026-04-13,ACT FIBERNET TXN877572,1996.13,Utilities,Expense
40,2026-04-14,BMTC BUS PASS,71.61,Transport,Expense
41,2026-04-14,COURSERA  SUBSCRIP,2064.43,Education,Expense
42,2026-04-16,BURGER KING IND,1098.32,Food & Dining,Expense
43,2026-04-16,UBER TRIP HELP.UBER.COM,261.9,Transport,Expense
44,2026-04-17,MORE SUPERMARKET,546.34,Groceries,Expense
45,2026-04-17,CCD CAFE COFFEE DAY,418.73,Food & Dining,Expense
46,2026-04-18,STARBUCKS  COFFEE,1081.81,Food & Dining,Expense
47,2026-04-18,MCDONALDS IN,693.28,Food & Dining,Expense
48,2026-04-18,1MG HEALTHCARE,3268.27,Health,Expense
49,2026-04-18,ACT  FIBERNET,2271.4,Utilities,Expense
50,2026-04-18,NESTAWAY PROPERTY,13406.06,Rent & Housing,Expense
51,2026-04-18,ZEPTO INSTANT,652.17,Groceries,Expense
52,2026-04-19,CCD_CAFE_COFFEE_DAY,661.82,Food & Dining,Expense
53,2026-04-19,JIO FIBER RECHARGE,1218.3,Utilities,Expense
54,2026-04-19,SWIGGY BANGALORE,344.32,Food & Dining,Expense
55,2026-04-19,ZOMATO ORDER,231.85,Food & Dining,Expense
56,2026-04-20,HOUSING RENT NEFT,16819.44,Rent & Housing,Expense
57,2026-04-20,RAPIDO BIKE TAXI,647.57,Transport,Expense
58,2026-04-21,BURGER KING IND,646.97,Food & Dining,Expense
59,2026-04-21,CULT FIT GYM REF#2824,1343.34,Health,Expense
60,2026-04-21,HOUSING RENT NEFT REF#2824,12842.29,Rent & Housing,Expense
61,2026-04-23,PRACTO CONSULT REF#2824,1258.86,Health,Expense
62,2026-04-23,HOUSING RENT NEFT,23440.52,Rent & Housing,Expense
63,2026-04-24,UBER TRIP HELP.UBER.COM,466.03,Transport,Expense
64,2026-04-25,SALARY NEFT,98257.31,Income,Income
65,2026-04-25,NYKAA FASHION,1965.36,Shopping,Expense
66,2026-04-25,NETFLIX.COM,1003.61,Entertainment,Expense
67,2026-04-25,SPOTIFY PREMIUM,1005.27,Entertainment,Expense
68,2026-04-26,BESCOM ELECTRICITY,710.34,Utilities,Expense
69,2026-04-26,ACT FIBERNET REF#2824,389.71,Utilities,Expense
70,2026-04-26,SPOTIFY PREMIUM,947.71,Entertainment,Expense
71,2026-04-27,DMART RETAIL,1938.7,Groceries,Expense
72,2026-04-28,FLIPKART INTERNET,3516.5,Shopping,Expense
73,2026-04-28,SWIGGY BANGALORE,525.41,Food & Dining,Expense
74,2026-04-29,PRACTO CONSULT*13,1496.05,Health,Expense
420,2026-04-29,NETFLIX.COM,649.0,Entertainment,Expense
421,2026-04-29,SPOTIFY PREMIUM,119.0,Entertainment,Expense
412,2026-04-30,NESTAWAY PROPERTY,17212.32,Rent & Housing,Expense
75,2026-05-01,RELIANCE_FRESH,2076.64,Groceries,Expense
76,2026-05-01,RAPIDO BIKE TAXI,2627.5,Transport,Expense
77,2026-05-01,NETFLIX.COM TXN877572,476.5,Entertainment,Expense
78,2026-05-01,NYKAA  FASHION,646.89,Shopping,Expense
79,2026-05-02,ACT FIBERNET,1712.47,Utilities,Expense
80,2026-05-02,CULT FIT GYM,519.73,Health,Expense
81,2026-05-02,FLIPKART INTERNET,975.82,Shopping,Expense
82,2026-05-02,BIGBASKET ONLINE*13,3175.37,Groceries,Expense
83,2026-05-02,ZOMATO ORDER,767.07,Food & Dining,Expense
84,2026-05-02,MYNTRA_DESIGNS,244.15,Shopping,Expense
85,2026-05-02,NETFLIX.COM,286.99,Entertainment,Expense
86,2026-05-02,AJIO TRENDS,3384.81,Shopping,Expense
87,2026-05-04,DMART_RETAIL,2514.06,Groceries,Expense
88,2026-05-05,PRACTO CONSULT,1101.55,Health,Expense
89,2026-05-05,UDEMY_COURSE_PAY,5218.3,Education,Expense
90,2026-05-06,MORE SUPERMARKET,1476.69,Groceries,Expense
91,2026-05-06,RELIANCE FRESH,1148.65,Groceries,Expense
92,2026-05-06,MCDONALDS IN,368.39,Food & Dining,Expense
93,2026-05-06,SPOTIFY PREMIUM,1463.56,Entertainment,Expense
94,2026-05-06,AMZN MKTP US*2K3,2086.87,Shopping,Expense
95,2026-05-07,NYKAA FASHION,2564.08,Shopping,Expense
96,2026-05-07,MCDONALDS IN,314.77,Food & Dining,Expense
97,2026-05-07,BYJUS LEARNING,10975.56,Education,Expense
98,2026-05-07,PRACTO CONSULT,1266.93,Health,Expense
99,2026-05-09,APOLLO PHARMACY,3727.61,Health,Expense
100,2026-05-09,BESCOM_ELECTRICITY,1242.01,Utilities,Expense
101,2026-05-09,PRACTO CONSULT TXN877572,3873.29,Health,Expense
102,2026-05-09,BMTC BUS PASS,869.08,Transport,Expense
103,2026-05-09,DMART RETAIL,3029.63,Groceries,Expense
104,2026-05-09,RAPIDO BIKE TAXI*13,300.28,Transport,Expense
105,2026-05-10,MORE SUPERMARKET*13,2081.76,Groceries,Expense
106,2026-05-10,BMTC BUS PASS REF#2824,845.73,Transport,Expense
107,2026-05-10,BOOKMYSHOW_EVENT,1089.64,Entertainment,Expense
108,2026-05-11,JIO FIBER RECHARGE,1653.02,Utilities,Expense
109,2026-05-12,DIVIDEND ACH,110189.85,Income,Income
110,2026-05-12,ZOMATO ORDER*13,914.85,Food & Dining,Expense
111,2026-05-13,ZOMATO ORDER TXN877572,990.3,Food & Dining,Expense
112,2026-05-13,UBER TRIP HELP.UBER.COM REF#2824,738.6,Transport,Expense
113,2026-05-13,SPOTIFY_PREMIUM*13,1320.55,Entertainment,Expense
114,2026-05-14,BURGER_KING_IND_TXN877572,872.16,Food & Dining,Expense
115,2026-05-14,FLIPKART INTERNET,4019.8,Shopping,Expense
116,2026-05-14,DOMINOS PIZZA,1079.01,Food & Dining,Expense
117,2026-05-14,1MG_HEALTHCARE,1484.38,Health,Expense
118,2026-05-15,PRACTO CONSULT,2397.46,Health,Expense
119,2026-05-16,RAPIDO BIKE TAXI,511.25,Transport,Expense
120,2026-05-17,SPOTIFY PREMIUM,200.42,Entertainment,Expense
121,2026-05-17,SWIGGY BANGALORE,1004.86,Food & Dining,Expense
122,2026-05-18,ZEPTO INSTANT,1971.18,Groceries,Expense
123,2026-05-19,COURSERA SUBSCRIP TXN877572,1737.54,Education,Expense
124,2026-05-19,DMART RETAIL,465.38,Groceries,Expense
125,2026-05-20,1MG HEALTHCARE TXN877572,3908.24,Health,Expense
126,2026-05-20,REDBUS_TICKET_TXN877572,10809.71,Travel,Expense
127,2026-05-20,UBER TRIP HELP.UBER.COM,324.51,Transport,Expense
128,2026-05-21,UBER TRIP HELP.UBER.COM,116.69,Transport,Expense
129,2026-05-21,RAPIDO BIKE TAXI*13,71.55,Transport,Expense
130,2026-05-22,AMZN MKTP US*2K3,950.9,Shopping,Expense
131,2026-05-22,HOUSING RENT NEFT,12254.13,Rent & Housing,Expense
132,2026-05-22,APOLLO PHARMACY TXN877572,2287.06,Health,Expense
133,2026-05-22,HOTSTAR DISNEY,1114.7,Entertainment,Expense
134,2026-05-23,MCDONALDS IN,372.5,Food & Dining,Expense
135,2026-05-23,BLINKIT GROCERY,1439.11,Groceries,Expense
136,2026-05-23,CCD CAFE COFFEE DAY,933.63,Food & Dining,Expense
137,2026-05-23,DOMINOS PIZZA,115.83,Food & Dining,Expense
138,2026-05-23,GOIBIBO FLIGHT,3205.38,Travel,Expense
139,2026-05-23,AJIO TRENDS TXN877572,420.81,Shopping,Expense
140,2026-05-24,COURSERA SUBSCRIP,7375.52,Education,Expense
141,2026-05-24,PESU FEE PAYMENT,1918.6,Education,Expense
142,2026-05-25,CASH DEPOSIT,74708.13,Income,Income
143,2026-05-25,BOOKMYSHOW EVENT,687.98,Entertainment,Expense
144,2026-05-26,RELIANCE FRESH,1498.76,Groceries,Expense
145,2026-05-26,AJIO TRENDS,3204.13,Shopping,Expense
146,2026-05-27,SWIGGY BANGALORE,177.63,Food & Dining,Expense
147,2026-05-27,HOUSING RENT NEFT,18921.13,Rent & Housing,Expense
148,2026-05-27,FLIPKART INTERNET,327.25,Shopping,Expense
149,2026-05-28,BESCOM ELECTRICITY,1715.23,Utilities,Expense
150,2026-05-28,ZEPTO  INSTANT,1766.41,Groceries,Expense
151,2026-05-28,JIO FIBER RECHARGE,1500.36,Utilities,Expense
152,2026-05-29,BESCOM ELECTRICITY TXN877572,452.59,Utilities,Expense
153,2026-05-29,BIGBASKET ONLINE,622.49,Groceries,Expense
154,2026-05-29,FLIPKART INTERNET REF#2824,287.46,Shopping,Expense
155,2026-05-29,BWSSB WATER BOARD,507.77,Utilities,Expense
422,2026-05-29,NETFLIX.COM,649.0,Entertainment,Expense
423,2026-05-29,SPOTIFY PREMIUM,119.0,Entertainment,Expense
156,2026-05-30,BIGBASKET ONLINE,3003.6,Groceries,Expense
157,2026-05-30,MYNTRA DESIGNS,311.71,Shopping,Expense
158,2026-05-31,MYNTRA DESIGNS,3544.34,Shopping,Expense
159,2026-05-31,MYNTRA DESIGNS,3218.93,Shopping,Expense
413,2026-05-31,NESTAWAY PROPERTY,22840.08,Rent & Housing,Expense
160,2026-06-01,CULT FIT GYM*13,3052.34,Health,Expense
161,2026-06-01,REDBUS TICKET,16329.86,Travel,Expense
162,2026-06-01,DMART RETAIL,3469.62,Groceries,Expense
163,2026-06-01,AIRTEL POSTPAID,1207.76,Utilities,Expense
164,2026-06-02,NYKAA_FASHION,4667.64,Shopping,Expense
165,2026-06-02,FLIPKART INTERNET,4320.38,Shopping,Expense
166,2026-06-03,IRCTC RAIL TICKET REF#2824,817.17,Transport,Expense
167,2026-06-03,1MG  HEALTHCARE,2119.96,Health,Expense
168,2026-06-03,BOOKMYSHOW EVENT,5834.61,Entertainment,Expense
169,2026-06-04,MYNTRA DESIGNS,252.02,Shopping,Expense
170,2026-06-04,BWSSB WATER BOARD,2291.84,Utilities,Expense
171,2026-06-06,UBER TRIP HELP.UBER.COM,329.36,Transport,Expense
172,2026-06-06,SWIGGY  BANGALORE,839.77,Food & Dining,Expense
173,2026-06-06,DOMINOS PIZZA,927.61,Food & Dining,Expense
174,2026-06-06,FLIPKART INTERNET,3999.58,Shopping,Expense
175,2026-06-06,PESU FEE PAYMENT,11949.46,Education,Expense
176,2026-06-06,MORE SUPERMARKET,591.86,Groceries,Expense
177,2026-06-07,BESCOM ELECTRICITY TXN877572,1508.96,Utilities,Expense
178,2026-06-08,APOLLO PHARMACY,743.37,Health,Expense
179,2026-06-08,PRACTO CONSULT,3093.74,Health,Expense
180,2026-06-08,BMTC BUS PASS,575.49,Transport,Expense
181,2026-06-11,APOLLO  PHARMACY,3323.07,Health,Expense
182,2026-06-12,APOLLO PHARMACY,522.38,Health,Expense
183,2026-06-13,UBER_TRIP_HELP.UBER.COM_REF#2824,120.98,Transport,Expense
184,2026-06-13,BOOKMYSHOW EVENT,1199.15,Entertainment,Expense
185,2026-06-13,BMTC BUS PASS,524.64,Transport,Expense
186,2026-06-13,ZEPTO INSTANT,1657.51,Groceries,Expense
187,2026-06-13,BWSSB WATER BOARD TXN877572,2293.98,Utilities,Expense
188,2026-06-13,STARBUCKS COFFEE,222.32,Food & Dining,Expense
189,2026-06-13,RAPIDO BIKE TAXI,468.73,Transport,Expense
190,2026-06-15,ACT FIBERNET,561.4,Utilities,Expense
191,2026-06-17,CULT FIT GYM,1285.71,Health,Expense
192,2026-06-17,DMART RETAIL TXN877572,3079.52,Groceries,Expense
193,2026-06-17,CCD CAFE COFFEE DAY,345.96,Food & Dining,Expense
194,2026-06-17,IRCTC RAIL TICKET,868.74,Transport,Expense
195,2026-06-19,AMZN MKTP US*2K3,4477.49,Shopping,Expense
196,2026-06-20,ZEPTO INSTANT TXN877572,3401.77,Groceries,Expense
197,2026-06-20,HOTSTAR DISNEY,856.18,Entertainment,Expense
198,2026-06-20,APOLLO PHARMACY,2591.71,Health,Expense
199,2026-06-21,CCD CAFE COFFEE DAY,409.06,Food & Dining,Expense
200,2026-06-21,CCD CAFE COFFEE DAY TXN877572,1145.45,Food & Dining,Expense
201,2026-06-21,STARBUCKS COFFEE,1079.29,Food & Dining,Expense
202,2026-06-21,MORE SUPERMARKET,1758.1,Groceries,Expense
203,2026-06-21,NETFLIX.COM,987.18,Entertainment,Expense
204,2026-06-22,MYNTRA_DESIGNS,2425.75,Shopping,Expense
205,2026-06-23,ACT FIBERNET,2443.67,Utilities,Expense
206,2026-06-23,SALARY NEFT,118896.86,Income,Income
207,2026-06-24,PVR CINEMAS*13,1248.62,Entertainment,Expense
208,2026-06-24,STARBUCKS COFFEE,853.2,Food & Dining,Expense
209,2026-06-25,BURGER KING IND,1144.78,Food & Dining,Expense
210,2026-06-25,RELIANCE FRESH,2622.3,Groceries,Expense
211,2026-06-26,MYNTRA DESIGNS,326.56,Shopping,Expense
212,2026-06-26,UDEMY COURSE PAY,5958.72,Education,Expense
213,2026-06-26,RAPIDO BIKE TAXI,738.97,Transport,Expense
214,2026-06-26,CCD CAFE COFFEE DAY,1186.0,Food & Dining,Expense
215,2026-06-27,FLIPKART INTERNET REF#2824,4223.98,Shopping,Expense
216,2026-06-27,BURGER KING IND,615.56,Food & Dining,Expense
217,2026-06-27,HOTSTAR DISNEY,710.01,Entertainment,Expense
218,2026-06-27,DIVIDEND_ACH*13,61872.57,Income,Income
219,2026-06-28,APOLLO PHARMACY,3122.15,Health,Expense
220,2026-06-28,BURGER KING IND*13,1139.24,Food & Dining,Expense
221,2026-06-28,BMTC BUS PASS,772.2,Transport,Expense
222,2026-06-28,BYJUS LEARNING,4086.55,Education,Expense
223,2026-06-28,SWIGGY BANGALORE TXN877572,595.6,Food & Dining,Expense
414,2026-06-28,NOBROKER RENT PAY,20447.82,Rent & Housing,Expense
424,2026-06-28,NETFLIX.COM,649.0,Entertainment,Expense
425,2026-06-28,SPOTIFY PREMIUM,119.0,Entertainment,Expense
224,2026-06-30,HOTSTAR DISNEY REF#2824,1056.8,Entertainment,Expense
225,2026-06-30,BMTC BUS PASS,575.41,Transport,Expense
226,2026-07-01,HOTSTAR DISNEY,1056.62,Entertainment,Expense
227,2026-07-02,CCD CAFE COFFEE DAY TXN877572,717.03,Food & Dining,Expense
